# 1228.849230 sec
max_depth,max_features,n_estimators,mean_test_score
3.0,log2,100.0,-0.007679361592565577
3.0,0.1,100.0,-0.007690695631754979
3.0,0.1,500.0,-0.00770796606167958
3.0,0.1,1000.0,-0.007710670139868548
3.0,log2,500.0,-0.00773808221648323
3.0,log2,1000.0,-0.0077777312558663285
3.0,sqrt,1000.0,-0.007777913119116127
5.0,0.1,1000.0,-0.007779696784874087
3.0,0.5,500.0,-0.007793645560148653
5.0,0.1,500.0,-0.007793977158881127
3.0,0.5,1000.0,-0.0077972890747077485
3.0,sqrt,500.0,-0.007803132884472115
5.0,sqrt,500.0,-0.007814750024446877
5.0,sqrt,1000.0,-0.00781607682343968
3.0,0.5,100.0,-0.007836504453810655
5.0,log2,500.0,-0.007836748602229288
5.0,0.5,1000.0,-0.007838816113733497
5.0,log2,1000.0,-0.007842413772725421
5.0,0.1,100.0,-0.007855415292802204
5.0,0.5,500.0,-0.007870315332134135
10.0,0.5,500.0,-0.007873901022226208
5.0,0.5,100.0,-0.00788952519336115
10.0,0.5,1000.0,-0.007893870436908949
3.0,sqrt,100.0,-0.007897446485328283
5.0,sqrt,100.0,-0.007906562190850489
10.0,0.1,1000.0,-0.007908528486458196
5.0,log2,100.0,-0.007908605141194954
10.0,0.1,500.0,-0.007917492372513076
10.0,log2,500.0,-0.007921894280512695
10.0,log2,1000.0,-0.007922670449308914
10.0,0.1,100.0,-0.007939956352596683
10.0,sqrt,500.0,-0.00795095686204836
10.0,sqrt,1000.0,-0.007960182927087339
10.0,log2,100.0,-0.007960710611301684
10.0,0.5,100.0,-0.00798362028013513
10.0,sqrt,100.0,-0.00804270902400403
