# 1135.019969 sec
max_depth,max_features,n_estimators,mean_test_score
10.0,0.1,1000.0,-0.0053296196451024635
10.0,log2,500.0,-0.005345963067840025
10.0,0.1,100.0,-0.005346176339073603
5.0,0.1,500.0,-0.0053463998143412905
5.0,0.1,1000.0,-0.005348751749532564
5.0,log2,1000.0,-0.005351830123907758
5.0,sqrt,1000.0,-0.0053610137238885875
5.0,log2,500.0,-0.005362449394161935
10.0,sqrt,500.0,-0.005367043483265554
10.0,0.1,500.0,-0.005368992745860726
10.0,sqrt,1000.0,-0.005369883039180464
5.0,sqrt,500.0,-0.005371202200122846
5.0,0.1,100.0,-0.005377764648408806
10.0,log2,1000.0,-0.005380751217296281
10.0,sqrt,100.0,-0.005390644996898284
3.0,log2,500.0,-0.005399474122027454
3.0,sqrt,100.0,-0.0054076437910403315
5.0,log2,100.0,-0.005412228110802416
3.0,sqrt,1000.0,-0.005416312709999105
3.0,0.1,1000.0,-0.005416465662722487
3.0,log2,1000.0,-0.005428476707373529
3.0,0.1,100.0,-0.005432149903028357
10.0,log2,100.0,-0.005435418834735271
3.0,sqrt,500.0,-0.005435635345595641
3.0,0.1,500.0,-0.005436388749484784
5.0,0.5,500.0,-0.005444927328213057
10.0,0.5,100.0,-0.005451406354915009
5.0,0.5,1000.0,-0.005452781697111812
10.0,0.5,1000.0,-0.005463918694032263
10.0,0.5,500.0,-0.005473039777968453
5.0,sqrt,100.0,-0.005474100765873947
3.0,log2,100.0,-0.005487251777444331
3.0,0.5,1000.0,-0.0055110599993596025
3.0,0.5,100.0,-0.005534152714500163
3.0,0.5,500.0,-0.005539212616204769
5.0,0.5,100.0,-0.005557579879185414
