# 1050.706187 sec
max_depth,max_features,n_estimators,mean_test_score
10.0,0.1,1000.0,-0.0017370703883569174
10.0,0.1,500.0,-0.0017381393585421893
10.0,0.1,100.0,-0.001757616523119987
10.0,log2,1000.0,-0.001758786434045689
10.0,log2,500.0,-0.0017603628765624295
10.0,sqrt,1000.0,-0.001769412382138695
10.0,sqrt,500.0,-0.0017698008094102669
5.0,0.1,1000.0,-0.0017727717934568738
5.0,0.1,500.0,-0.0017740212469582798
5.0,0.1,100.0,-0.0017889030135598374
5.0,sqrt,500.0,-0.0017894517941467306
5.0,sqrt,1000.0,-0.001791583440477594
10.0,0.5,500.0,-0.00179384786187551
5.0,sqrt,100.0,-0.0017942261028558095
10.0,log2,100.0,-0.0017946663733169545
5.0,log2,500.0,-0.0017948984183658082
5.0,log2,100.0,-0.0017967129423459652
5.0,log2,1000.0,-0.0017974997094818077
10.0,sqrt,100.0,-0.001799884033036311
10.0,0.5,100.0,-0.001802529280734631
10.0,0.5,1000.0,-0.001803274314329597
5.0,0.5,1000.0,-0.0018112250592051
5.0,0.5,500.0,-0.001816701445889674
5.0,0.5,100.0,-0.001823223101342752
3.0,sqrt,1000.0,-0.001891434190346912
3.0,log2,500.0,-0.0018931696026352831
3.0,log2,1000.0,-0.001897588881985737
3.0,0.5,500.0,-0.0018978868574498833
3.0,sqrt,100.0,-0.001900632957968499
3.0,0.1,500.0,-0.0019029881494493147
3.0,0.5,1000.0,-0.0019038056905882395
3.0,sqrt,500.0,-0.0019055173238715704
3.0,0.5,100.0,-0.0019090164780739764
3.0,0.1,1000.0,-0.0019144717336265272
3.0,log2,100.0,-0.0019288804760842142
3.0,0.1,100.0,-0.0019369545158412914
