# 1172.194184 sec
max_depth,max_features,n_estimators,mean_test_score
10.0,0.1,500.0,-0.0019718648383468306
10.0,0.1,1000.0,-0.0019730793644291795
10.0,sqrt,500.0,-0.0019819191388218823
10.0,log2,1000.0,-0.0019829982575196832
5.0,0.1,100.0,-0.0019835566050099584
10.0,log2,500.0,-0.001983858049998874
10.0,sqrt,1000.0,-0.0019943706355761634
5.0,sqrt,1000.0,-0.001997166953349105
5.0,log2,500.0,-0.001997976667403608
5.0,0.1,1000.0,-0.0019980601250341526
5.0,0.1,500.0,-0.002001285153453215
5.0,log2,1000.0,-0.0020064377232029704
10.0,0.1,100.0,-0.002009846812298974
10.0,log2,100.0,-0.002012988034227547
5.0,sqrt,500.0,-0.0020141035280099263
5.0,log2,100.0,-0.0020313695614259356
10.0,sqrt,100.0,-0.002036167794990029
5.0,sqrt,100.0,-0.002039994093151922
10.0,0.5,1000.0,-0.002063813099826533
5.0,0.5,1000.0,-0.0020654072467347095
10.0,0.5,500.0,-0.0020686918290853647
5.0,0.5,500.0,-0.00207542756672086
10.0,0.5,100.0,-0.0020793986918143962
5.0,0.5,100.0,-0.002086167609943531
3.0,log2,500.0,-0.002105928542373788
3.0,0.1,500.0,-0.0021132338134464204
3.0,0.1,1000.0,-0.002115862896859108
3.0,sqrt,500.0,-0.0021189853329242553
3.0,sqrt,1000.0,-0.0021200924242362434
3.0,log2,1000.0,-0.0021220674816385104
3.0,0.1,100.0,-0.0021278928823419193
3.0,log2,100.0,-0.0021457141636797047
3.0,sqrt,100.0,-0.0021532118073848633
3.0,0.5,1000.0,-0.002168752770429153
3.0,0.5,500.0,-0.0021795553862731963
3.0,0.5,100.0,-0.002189886516457501
