# 2350.913701 sec
max_depth,max_features,n_estimators,mean_test_score
10.0,0.1,1000.0,-0.005289527894628857
10.0,log2,1000.0,-0.005293439263665994
10.0,sqrt,500.0,-0.005298113199262806
5.0,0.1,1000.0,-0.0053178239126137564
5.0,sqrt,500.0,-0.0053244124324762785
5.0,sqrt,1000.0,-0.005329043414778041
10.0,log2,500.0,-0.005329651027310573
5.0,sqrt,100.0,-0.005332510118254644
5.0,log2,500.0,-0.005333447787228558
10.0,sqrt,1000.0,-0.005334653882771355
10.0,0.1,500.0,-0.005338986602332464
5.0,log2,1000.0,-0.005348776866879382
5.0,0.1,500.0,-0.005349673852287318
3.0,log2,1000.0,-0.005372398025049357
3.0,0.1,500.0,-0.005388763123416408
5.0,0.1,100.0,-0.00539969409750874
10.0,0.5,500.0,-0.005405171097966064
3.0,sqrt,1000.0,-0.005406472326322459
3.0,log2,500.0,-0.005408149746806508
3.0,0.1,1000.0,-0.00541918225781167
3.0,sqrt,500.0,-0.0054223015909024746
10.0,0.1,100.0,-0.005430756438357667
3.0,0.1,100.0,-0.005437061298427985
10.0,log2,100.0,-0.005439450356634751
5.0,0.5,500.0,-0.005449807001074102
10.0,0.5,100.0,-0.005459748517045611
10.0,0.5,1000.0,-0.00546145380404193
10.0,sqrt,100.0,-0.005461937071947965
5.0,log2,100.0,-0.005464402642923078
5.0,0.5,1000.0,-0.005468667572250585
3.0,log2,100.0,-0.005500372548768196
3.0,sqrt,100.0,-0.005507620973438151
3.0,0.5,1000.0,-0.0055322312829609675
3.0,0.5,500.0,-0.005557946223074786
3.0,0.5,100.0,-0.0055847733768107895
5.0,0.5,100.0,-0.005666022382262109
