pop	Y	Mean	stdev	rep_1	rep_2	rep_3
Bella	0.0756988272202362	0.113224046108746	0.003833544800637065	0.11481944344872637	0.11600225239193607	0.10885044248557554
Bella	0.153428877072524	0.1485247202035568	0.0030687425870697246	0.1465528237235126	0.14696098233158644	0.1520603545555714
Bella	0.286863621162919	0.18646343294832027	0.003536193333697257	0.18828831534747803	0.18238760488254593	0.18871437861493692
Bella	0.227096481660709	0.11788757535003928	0.0025130048896187915	0.11766189874379702	0.11549502024547087	0.12050580706084994
Caesar	0.457381869301113	0.4696239107585623	0.0009532528083718418	0.46900861146974426	0.47072196916149683	0.46914115164444586
Caesar	0.604409641421861	0.41802967993233575	0.0028426992929369717	0.4213119936192754	0.41641594416581434	0.4163611020119176
Caesar	0.520130076602277	0.4473314568719842	0.0022800551071909675	0.4498817797220457	0.4466224591266156	0.44549013176729146
Caesar	0.534427327282805	0.4481103312069246	0.0007216940654363294	0.4486743957145382	0.4472970591320163	0.44835953877421936
Center Hill	0.53802188375706	0.4415163894670037	0.003234846725525783	0.4418697939755259	0.4445600229526403	0.43811935147284503
Center Hill	0.511207057816235	0.4597504648290787	0.0022269107093764	0.46027962238022585	0.45730663720996223	0.46166513489704813
Center Hill	0.459167047065327	0.46759847141895244	0.0019981795261172918	0.46828004264319445	0.4691666952144322	0.46534867639923067
Center Hill	0.443738158327438	0.4606092449192219	0.0022666293028257758	0.4618533243832441	0.4619813987865955	0.457993011587826
Center Hill	0.528974034622642	0.43602380024732756	0.0009674680348082391	0.43559664380850066	0.437131328930107	0.435343428003375
Dalton	0.562695256213395	0.46824141322119667	0.0013952858013996686	0.46663252134239314	0.4689722204525191	0.46911949786867774
Dalton	0.450982894323551	0.43094874508074904	0.0023253231241301157	0.4304736898276452	0.42889763348027365	0.43347491193432824
Dalton	0.555808325099789	0.48107055636300694	0.0011156656123882684	0.48167224215622584	0.47978320932887725	0.4817562176039178
Dalton	0.399560513454465	0.47900858607943525	0.0031389564868351955	0.4771997495998753	0.4826331386484175	0.477192869990013
Dalton	0.390667632899882	0.47129959038126645	0.0008142596093829284	0.4713321267869898	0.4720970941048064	0.47046955025200315
Gav	0.143619182472759	0.19606140510496392	0.001981844646592693	0.1976693031721432	0.19384724117377924	0.19666767096896928
Gav	0.0545377718182961	0.2171129804178574	0.005282176101648997	0.21110681287736027	0.21919636425038658	0.2210357641258253
Gen Butler	0.543164441266837	0.44599021295469393	0.00042644722513589955	0.4455997864004128	0.4464452965169966	0.4459255559466724
Gen Butler	0.512652964721283	0.4772890173614044	0.001233233927975528	0.4769745611211239	0.47864903551967325	0.476243455443416
Gen Butler	0.444661216420713	0.48383354114611093	0.0007610883346469199	0.4829604716464841	0.48418308342641353	0.48435706836543524
Gen Butler	0.403691742533444	0.44595697607826806	0.0023757937721117462	0.44642242638221863	0.44806559948183067	0.44338290237075495
HV	0.484836919000158	0.47888740440573674	0.0025483366637776834	0.4759720662698754	0.48069093821189324	0.4799992087354416
HV	0.409355627531309	0.43802874375821005	0.00015561668432119994	0.43791979516238577	0.4379594674802042	0.43820696863204034
HV	0.619309098621145	0.4226127615325641	0.0012391457793897009	0.4217721185275126	0.4220303508843523	0.42403581518582745
HV	0.520132122195118	0.4593850665824298	0.002300595835962303	0.4578950851986305	0.4620347115231095	0.45822540302554954
HV	0.452583822839331	0.4670178153356486	0.00460357659535736	0.4708928477328602	0.46192894856788325	0.46823164970620246
Hwy 27	0.205935426258769	0.2723130741613049	0.00367467493624687	0.27531267128514886	0.26821422794532745	0.2734123232534384
Hwy 27	0.161176919084408	0.26111110625194595	0.0027564338644138096	0.2642799422425959	0.25978511909293583	0.25926825742030607
Hwy 27	0.182337974486348	0.23221084533187483	0.004005244475502741	0.22790976382363973	0.23288914062303998	0.23583363154894474
Hwy 27	0.0756988272202362	0.24312765766289593	0.0012014747023927643	0.24196964832219545	0.24304499607626495	0.24436832859022745
Hwy 27	0.273481037728692	0.2152269194597333	0.0013855694179550767	0.21470690180437219	0.21679726749561795	0.21417658907920978
KBS	0.317733235867031	0.4357235866759049	0.0005133855435388284	0.4363163489409864	0.4354334816198651	0.4354209294668632
KBS	0.500917956131659	0.486029829854604	0.0004625292986388514	0.4860849473944649	0.4864623307489555	0.48554221142039183
KBS	0.456094253106331	0.4810575250473377	0.002636219298618896	0.4800647094663	0.47906186740794754	0.48404599826776545
KBS	0.538233317021029	0.46571837680039857	0.00347648634774308	0.4619352026041073	0.46644735817155375	0.46877256962553465
KBS	0.416458029674984	0.4543211781466048	0.0007234440663507576	0.4536888670890361	0.45416456696548313	0.4551101003852952
MacArthur	0.248738398466596	0.2620527676891505	0.0017792831728550874	0.26295918934242113	0.26319631872612126	0.26000279499890905
MacArthur	0.0	0.20716184909898652	0.0027999772148065948	0.20551940953984207	0.2103948455316413	0.20557129222547618
MacArthur	0.130236599038532	0.2376578774921798	0.0046165382187005576	0.23248338987913547	0.24135459576058074	0.23913564683682306
MacArthur	0.219318009692996	0.25033708364933344	0.004191060542964544	0.24797486720570894	0.2551760517071559	0.24786033203513544
MacArthur	0.284435043681265	0.43667128823270196	0.00499712641866985	0.43561998117040057	0.43228345648965727	0.442110427038048
McPhee	0.453517036165193	0.48845600057096333	0.004692342655754536	0.4871426091651435	0.48456029780050197	0.4936650947472444
McPhee	0.422297431780901	0.49688619387270266	0.0027282236067008147	0.49500707243342684	0.49563603291813163	0.5000154762665494
McPhee	0.432665491564807	0.4873271029591156	0.002275002183990018	0.4870465699421927	0.4852053767936342	0.48972936214152
