# 1431.110496 sec
max_depth,max_features,n_estimators,mean_test_score
10.0,sqrt,500.0,-0.006724898169414925
10.0,0.1,1000.0,-0.00677619293211508
5.0,sqrt,1000.0,-0.006781569259612814
5.0,0.1,1000.0,-0.006788542469642893
5.0,sqrt,100.0,-0.006788880429009274
10.0,log2,500.0,-0.006797098622790021
10.0,sqrt,1000.0,-0.006800149037103046
5.0,log2,500.0,-0.006804495164264101
10.0,log2,1000.0,-0.006810740534756841
5.0,log2,1000.0,-0.006812325312557063
10.0,0.1,500.0,-0.006812998699363163
5.0,0.1,500.0,-0.00683782907667147
5.0,log2,100.0,-0.006842485803810025
5.0,sqrt,500.0,-0.00684821970093826
10.0,log2,100.0,-0.006856410789527631
3.0,log2,1000.0,-0.006888155064325004
3.0,0.1,500.0,-0.006891566754506329
3.0,sqrt,1000.0,-0.006902266955532583
3.0,0.1,1000.0,-0.0069164204787559415
3.0,log2,500.0,-0.006917134257287539
10.0,sqrt,100.0,-0.006922816510049262
3.0,0.1,100.0,-0.006934683430555565
5.0,0.1,100.0,-0.006941565545328427
3.0,sqrt,500.0,-0.0069465898323997285
10.0,0.1,100.0,-0.006958568731981719
3.0,sqrt,100.0,-0.006960753110339377
10.0,0.5,500.0,-0.00697522986383613
3.0,log2,100.0,-0.007028260586332139
5.0,0.5,500.0,-0.0070560699039907086
10.0,0.5,1000.0,-0.007057791726282628
5.0,0.5,1000.0,-0.007073898415876291
3.0,0.5,1000.0,-0.007083018968305879
5.0,0.5,100.0,-0.0071159167656811365
3.0,0.5,500.0,-0.007125349435335586
10.0,0.5,100.0,-0.007127530529992243
3.0,0.5,100.0,-0.007168538089106053
