# 1183.027007 sec
max_depth,max_features,n_estimators,mean_test_score
10.0,0.1,500.0,-0.0019444795913988848
10.0,log2,1000.0,-0.0019484721062460407
10.0,log2,500.0,-0.0019495311568488854
10.0,0.1,1000.0,-0.0019495957819146384
10.0,sqrt,500.0,-0.0019518007162774294
10.0,sqrt,1000.0,-0.001952324071118785
5.0,log2,100.0,-0.001958308782757683
10.0,sqrt,100.0,-0.0019595217585139184
5.0,log2,1000.0,-0.001966719102400319
5.0,0.1,500.0,-0.0019685985933119666
10.0,0.1,100.0,-0.001969284705754828
10.0,log2,100.0,-0.0019717181112730757
5.0,log2,500.0,-0.001972633487481465
5.0,0.1,1000.0,-0.00197471759945601
5.0,sqrt,500.0,-0.001975001136746602
5.0,sqrt,1000.0,-0.0019754159528382904
5.0,0.1,100.0,-0.0019840709593627664
5.0,sqrt,100.0,-0.0020003640956484706
10.0,0.5,1000.0,-0.0020093981612344246
10.0,0.5,100.0,-0.002015645326653686
10.0,0.5,500.0,-0.0020220356298368816
5.0,0.5,1000.0,-0.0020229558801680048
5.0,0.5,500.0,-0.0020276486973610105
5.0,0.5,100.0,-0.0020287120115619213
3.0,0.1,1000.0,-0.0020780670695488097
3.0,0.1,500.0,-0.0020822649883257506
3.0,sqrt,500.0,-0.002084307223415239
3.0,log2,1000.0,-0.0020876669756727663
3.0,sqrt,1000.0,-0.0020912189492331094
3.0,log2,100.0,-0.0020921367993278653
3.0,log2,500.0,-0.002100243010583068
3.0,sqrt,100.0,-0.0021099507222684002
3.0,0.1,100.0,-0.002117320023672209
3.0,0.5,500.0,-0.00211902390245455
3.0,0.5,1000.0,-0.002120463517381486
3.0,0.5,100.0,-0.002152567949277042
