# 3203.103692 sec
max_depth,max_features,n_estimators,mean_test_score
10.0,sqrt,1000.0,-0.006382913675167308
3.0,sqrt,500.0,-0.006395581099369991
3.0,sqrt,1000.0,-0.006400791090483723
10.0,sqrt,500.0,-0.006417522707433637
5.0,sqrt,1000.0,-0.006429485346750934
5.0,sqrt,500.0,-0.006446084618603765
10.0,sqrt,100.0,-0.006504121449369976
5.0,sqrt,100.0,-0.006522495359228478
5.0,0.1,1000.0,-0.0065491011653361604
3.0,0.1,1000.0,-0.00656160949928968
10.0,log2,1000.0,-0.006564269768103521
10.0,0.1,500.0,-0.006569412879429887
5.0,0.1,500.0,-0.006574871842693802
5.0,log2,1000.0,-0.006575802080127454
3.0,sqrt,100.0,-0.006593911769363757
3.0,log2,1000.0,-0.006595288801092766
10.0,log2,500.0,-0.006600755711058527
3.0,0.1,500.0,-0.006601475975735373
3.0,log2,500.0,-0.006615408388671992
5.0,log2,100.0,-0.006630257180486027
10.0,0.1,1000.0,-0.006635294864874267
3.0,0.1,100.0,-0.006644287940079402
5.0,log2,500.0,-0.0066494284911950835
5.0,0.1,100.0,-0.006664793540274836
10.0,0.1,100.0,-0.006734324397114426
10.0,log2,100.0,-0.006777122171155228
3.0,log2,100.0,-0.006809182411754931
3.0,0.5,500.0,-0.006947013686041265
10.0,0.5,1000.0,-0.006989330114308416
3.0,0.5,1000.0,-0.007006445604217643
10.0,0.5,100.0,-0.007015231648344923
5.0,0.5,1000.0,-0.007021504268811314
10.0,0.5,500.0,-0.00703933433732377
5.0,0.5,100.0,-0.007040687316334617
5.0,0.5,500.0,-0.007043442537985783
3.0,0.5,100.0,-0.007051638588749754
