# 59398.928906 sec
max_depth,max_features,n_estimators,mean_test_score
10.0,0.1,500.0,-0.0019812886142662185
10.0,0.1,1000.0,-0.001996394802929447
10.0,0.1,100.0,-0.002005947941047734
5.0,sqrt,100.0,-0.0020184924994653035
5.0,0.1,1000.0,-0.00202017129720048
5.0,0.1,500.0,-0.0020231875377621986
5.0,0.1,100.0,-0.0020318075987976647
10.0,log2,1000.0,-0.0020327485899785886
10.0,log2,500.0,-0.002038248904185673
10.0,sqrt,100.0,-0.00203920224353459
10.0,sqrt,500.0,-0.0020413507526873794
10.0,0.5,1000.0,-0.0020444010046684036
10.0,sqrt,1000.0,-0.002045598465342051
5.0,sqrt,1000.0,-0.0020492754377024838
5.0,sqrt,500.0,-0.0020497644657591872
10.0,0.5,500.0,-0.002055008729371346
5.0,log2,1000.0,-0.0020572559016801785
5.0,0.5,500.0,-0.0020575977266359064
5.0,0.5,1000.0,-0.002057641008195757
5.0,log2,500.0,-0.0020625830123053865
10.0,log2,100.0,-0.002064151930766747
10.0,0.5,100.0,-0.0020730486380170095
5.0,log2,100.0,-0.0020830600965073267
3.0,0.1,500.0,-0.002090398176951885
5.0,0.5,100.0,-0.0020921123823937865
3.0,0.1,1000.0,-0.0021017926086127577
3.0,0.5,1000.0,-0.0021041920765163093
3.0,log2,500.0,-0.0021076035039540334
3.0,sqrt,100.0,-0.0021092050897706877
3.0,0.5,500.0,-0.0021102388886237674
3.0,0.5,100.0,-0.0021134715594982164
3.0,sqrt,1000.0,-0.002115230769571428
3.0,sqrt,500.0,-0.002122720387091417
3.0,log2,1000.0,-0.0021229521949830484
3.0,log2,100.0,-0.002134302877020705
3.0,0.1,100.0,-0.002143882943956188
