# 5547.709587 sec
max_depth,max_features,n_estimators,mean_test_score
5.0,0.5,1000.0,-0.00281642852129056
10.0,0.5,1000.0,-0.002821375028231717
5.0,0.5,500.0,-0.0028227492651036997
5.0,0.1,100.0,-0.002825442286648238
10.0,0.1,1000.0,-0.002833535692226752
10.0,0.5,500.0,-0.002835523776256874
5.0,0.1,500.0,-0.0028369373046376978
5.0,sqrt,500.0,-0.0028395445666256594
10.0,0.1,100.0,-0.0028401208124438707
10.0,0.1,500.0,-0.00284542275737515
5.0,sqrt,1000.0,-0.0028472016478027287
10.0,sqrt,1000.0,-0.0028536604007424623
3.0,0.5,1000.0,-0.0028554723165042316
5.0,0.1,1000.0,-0.0028562030542859866
10.0,0.5,100.0,-0.002858960824399945
3.0,0.1,1000.0,-0.0028623061343394994
3.0,0.1,500.0,-0.0028633310600899705
10.0,sqrt,100.0,-0.0028669829714503955
3.0,0.5,500.0,-0.0028711694834024255
3.0,sqrt,1000.0,-0.0028748547846471784
10.0,sqrt,500.0,-0.002876839522766813
3.0,sqrt,500.0,-0.002880948674162323
5.0,0.5,100.0,-0.002887140778948748
3.0,0.5,100.0,-0.00289160039434561
3.0,0.1,100.0,-0.00290001532135697
5.0,sqrt,100.0,-0.0029090965402794097
3.0,sqrt,100.0,-0.00291821625983613
10.0,log2,100.0,-0.0029243136215458257
5.0,log2,500.0,-0.002932979189630031
5.0,log2,1000.0,-0.0029346499527260874
10.0,log2,500.0,-0.0029353364680418993
10.0,log2,1000.0,-0.0029404339907208848
5.0,log2,100.0,-0.002953311758752754
3.0,log2,500.0,-0.0029659798182788398
3.0,log2,1000.0,-0.002987259731245446
3.0,log2,100.0,-0.003024379566129371
