# 1092.261440 sec
max_depth,max_features,n_estimators,mean_test_score
10.0,0.1,500.0,-0.005452594755455098
5.0,log2,1000.0,-0.005453715411477279
10.0,0.1,1000.0,-0.005455711911746564
10.0,log2,500.0,-0.0054666495929122354
5.0,0.1,1000.0,-0.005470999879151216
5.0,0.1,500.0,-0.00547125007582406
10.0,0.1,100.0,-0.005474012320320825
10.0,log2,1000.0,-0.005476105699517195
10.0,sqrt,1000.0,-0.005481052741758502
10.0,sqrt,500.0,-0.005491063855747956
5.0,0.1,100.0,-0.005499370814420467
5.0,sqrt,500.0,-0.005501401701404009
5.0,sqrt,1000.0,-0.005502886643217153
5.0,log2,500.0,-0.005510294555490357
3.0,0.1,100.0,-0.005511366067807771
3.0,sqrt,100.0,-0.005520537520143367
5.0,log2,100.0,-0.005524152147903913
3.0,sqrt,1000.0,-0.005524920916479091
10.0,0.5,1000.0,-0.005533932982036154
3.0,sqrt,500.0,-0.005542265513479918
3.0,0.5,100.0,-0.005544053812162508
5.0,sqrt,100.0,-0.005544976647706361
3.0,0.1,500.0,-0.00554513640935736
3.0,0.1,1000.0,-0.005546391488496083
10.0,0.5,500.0,-0.005549068993838084
3.0,log2,100.0,-0.00555043131354281
5.0,0.5,1000.0,-0.005553519375605468
10.0,log2,100.0,-0.005556185951774043
3.0,log2,1000.0,-0.005557368945442097
5.0,0.5,500.0,-0.005568459043657303
3.0,log2,500.0,-0.005578475350492734
10.0,sqrt,100.0,-0.005580695193970539
3.0,0.5,500.0,-0.005598351534720924
10.0,0.5,100.0,-0.0056068025763548746
3.0,0.5,1000.0,-0.005611540781828063
5.0,0.5,100.0,-0.005659487692362674
