"pos_age","line_age","pos","pop","line","age","lat","region","percent_N","percent_C","C_N"
"61_young","Caesar_5_young",61,"Caesar",5,"young",39.4887,"north temperate",1.0367,32.7066,31.54876049
"62_young","Caesar_5_young",62,"Caesar",5,"young",39.4887,"north temperate",1.2133,39.2444,32.34517432
"63_young","Caesar_9_young",63,"Caesar",9,"young",39.4887,"north temperate",1.5026,42.1794,28.0709437
"64_young","Caesar_9_young",64,"Caesar",9,"young",39.4887,"north temperate",1.2806,40.0194,31.25050757
"65_young","Caesar_9_young",65,"Caesar",9,"young",39.4887,"north temperate",1.4044,45.2043,32.18762461
"66_young","Caesar_10_young",66,"Caesar",10,"young",39.4887,"north temperate",2.2938,25.2582,11.01150929
"67_young","Caesar_10_young",67,"Caesar",10,"young",39.4887,"north temperate",3.8311,39.1449,10.21766594
"68_young","Caesar_10_young",68,"Caesar",10,"young",39.4887,"north temperate",3.7894,40.6262,10.72101124
"69_mature","Center Hill_1_mature",69,"Center Hill",1,"mature",36.06935,"temperate",1.316,40.967,31.12993921
"70_mature","Center Hill_1_mature",70,"Center Hill",1,"mature",36.06935,"temperate",1.581,54.34,34.37065149
"71_mature","Center Hill_1_mature",71,"Center Hill",1,"mature",36.06935,"temperate",1.528,41.155,26.93390052
"72_mature","Center Hill_2_mature",72,"Center Hill",2,"mature",36.06935,"temperate",1.295,40.61,31.35598456
"73_mature","Center Hill_2_mature",73,"Center Hill",2,"mature",36.06935,"temperate",1.734,48.55,28
"74_mature","Center Hill_2_mature",74,"Center Hill",2,"mature",36.06935,"temperate",1.293,40.354,31.2095901
"75_mature","Center Hill_3_mature",75,"Center Hill",3,"mature",36.06935,"temperate",1.31,41.71,31.84274809
"76_mature","Center Hill_3_mature",76,"Center Hill",3,"mature",36.06935,"temperate",1.276,42.708,33.47021944
"77_mature","Center Hill_3_mature",77,"Center Hill",3,"mature",36.06935,"temperate",1.455,39.61,27.22611684
"78_mature","Center Hill_7_mature",78,"Center Hill",7,"mature",36.06935,"temperate",1.481,40.49,27.34233626
"79_mature","Center Hill_7_mature",79,"Center Hill",7,"mature",36.06935,"temperate",1.237,31.96,25.83589329
"80_mature","Center Hill_7_mature",80,"Center Hill",7,"mature",36.06935,"temperate",1.343,39.333,29.28741623
"81_mature","Center Hill_8_mature",81,"Center Hill",8,"mature",36.06935,"temperate",3.001,43.77,14.58513829
"82_mature","Center Hill_8_mature",82,"Center Hill",8,"mature",36.06935,"temperate",4.199,44.01,10.48059062
"83_young","Center Hill_1_young",83,"Center Hill",1,"young",36.06935,"temperate",1.553,41.133,26.48615583
"84_young","Center Hill_1_young",84,"Center Hill",1,"young",36.06935,"temperate",1.299,38.86,29.91454965
"85_young","Center Hill_1_young",85,"Center Hill",1,"young",36.06935,"temperate",1.287,38.551,29.95415695
"86_young","Center Hill_2_young",86,"Center Hill",2,"young",36.06935,"temperate",1.144,36.9,32.25611888
"87_young","Center Hill_2_young",87,"Center Hill",2,"young",36.06935,"temperate",1.254,38.88,31.00239234
"88_young","Center Hill_2_young",88,"Center Hill",2,"young",36.06935,"temperate",1.128,38.155,33.82535461
"89_young","Center Hill_3_young",89,"Center Hill",3,"young",36.06935,"temperate",1.428,38.032,26.63305322
"90_young","Center Hill_3_young",90,"Center Hill",3,"young",36.06935,"temperate",1.182,38.155,32.28003384
"91_young","Center Hill_3_young",91,"Center Hill",3,"young",36.06935,"temperate",1.377,39.464,28.6594045
"92_young","Center Hill_7_young",92,"Center Hill",7,"young",36.06935,"temperate",1.584,38.224,24.13131313
"93_young","Center Hill_7_young",93,"Center Hill",7,"young",36.06935,"temperate",1.175,37.02,31.50978723
"94_young","Center Hill_7_young",94,"Center Hill",7,"young",36.06935,"temperate",1.275,37.899,29.72470588
"95_young","Center Hill_8_young",95,"Center Hill",8,"young",36.06935,"temperate",3.734,40.082,10.73433315
"96_young","Center Hill_8_young",96,"Center Hill",8,"young",36.06935,"temperate",4.034,41.7,10.33639068
"97_mature","Dalton_2_mature",97,"Dalton",2,"mature",34.670883,"temperate",1.558,39.993,25.66944801
"98_mature","Dalton_2_mature",98,"Dalton",2,"mature",34.670883,"temperate",1.461,42.124,28.83230664
"99_mature","Dalton_2_mature",99,"Dalton",2,"mature",34.670883,"temperate",1.802,49.018,27.20199778
"100_mature","Dalton_4_mature",100,"Dalton",4,"mature",34.670883,"temperate",1.844,50.01,27.11930586
"101_mature","Dalton_4_mature",101,"Dalton",4,"mature",34.670883,"temperate",1.208,40.802,33.77649007
"102_mature","Dalton_4_mature",102,"Dalton",4,"mature",34.670883,"temperate",1.41,41.499,29.43191489
"103_mature","Dalton_6_mature",103,"Dalton",6,"mature",34.670883,"temperate",1.381,41.317,29.91817524
"104_mature","Dalton_6_mature",104,"Dalton",6,"mature",34.670883,"temperate",1.142,40.123,35.13397548
"105_mature","Dalton_6_mature",105,"Dalton",6,"mature",34.670883,"temperate",0.952,30.392,31.92436975
"106_mature","Dalton_8_mature",106,"Dalton",8,"mature",34.670883,"temperate",1.172,41.07,35.04266212
"107_mature","Dalton_8_mature",107,"Dalton",8,"mature",34.670883,"temperate",1.573,41.857,26.60966306
"108_mature","Dalton_8_mature",108,"Dalton",8,"mature",34.670883,"temperate",1.181,40.32,34.14394581
"109_mature","Dalton_9_mature",109,"Dalton",9,"mature",34.670883,"temperate",1.294,43.297,33.45981453
"110_mature","Dalton_9_mature",110,"Dalton",9,"mature",34.670883,"temperate",1.272,38.6,30.34669811
"111_mature","Dalton_9_mature",111,"Dalton",9,"mature",34.670883,"temperate",1.534,41.693,27.17926988
"112_mature","Dalton_9_mature",112,"Dalton",9,"mature",34.670883,"temperate",1.265,39.285,31.05533597
