date,cupID,rep,mass_mg
5/12,53,C,1.738
5/12,53,D,2.13
5/12,53,A,7.796
5/12,54,B,1.608
5/8,54,A,1.812
5/12,54,A,2.648
5/8,55,D,1.954
5/8,55,B,1.962
5/8,55,C,2.024
5/8,55,A,2.812
5/8,55,E,3.806
5/8,56,C,0.196
5/8,56,B,3.660
5/8,56,A,NA
5/8,57,A,0.564
5/8,57,C,4.526
5/8,57,B,5.898
5/8,58,D,1.222
5/8,58,A,1.640
5/8,58,E,3.938
5/8,58,C,3.986
5/8,58,B,7.886
5/8,59,C,1.516
5/8,59,A,2.272
5/8,59,B,6.740
5/8,60,A,1.234
5/8,61,A,0.458
5/8,61,B,1.048
5/8,61,C,4.954
5/8,62,B,10.012
5/8,62,C,14.972
5/8,62,D,16.636
5/8,62,A,35.106
5/8,63,B,5.312
5/8,63,A,9.674
5/8,63,C,14.634
5/8,64,A,3.942
5/8,64,B,4.340
5/8,64,D,4.820
5/8,64,C,17.286
5/8,65,B,7.862
5/8,65,C,18.410
5/8,65,A,40.948
5/12,66,C,2.568
5/12,66,D,4.364
5/12,66,A,4.532
5/12,66,B,5.430
5/12,67,D,0.810
5/12,67,C,1.632
5/12,67,B,1.702
5/12,67,E,3.188
5/12,67,A,3.570
5/12,68,E,3.916
5/12,68,C,7.968
5/12,68,A,8.460
5/12,68,B,9.262
5/12,68,D,13.478
5/8,69,D,6.254
5/8,69,A,7.969
5/8,69,B,12.330
5/8,69,C,13.309
5/8,69,E,15.896
5/8,70,E,2.028
5/8,70,A,4.656
5/8,70,B,8.092
5/8,70,D,8.810
5/8,70,C,10.578
5/8,71,B,6.436
5/8,71,A,6.492
5/8,71,D,11.914
5/8,71,C,15.868
5/8,72,B,0.638
5/8,72,C,3.000
5/8,72,D,3.326
5/8,72,A,5.688
5/8,73,C,5.174
5/8,73,B,5.514
5/8,73,A,6.729
5/8,73,D,6.999
5/8,74,B,3.378
5/8,74,A,5.828
5/8,74,D,6.290
5/8,74,C,8.294
5/8,75,B,6.408
5/8,75,A,8.152
5/8,75,E,8.616
5/8,75,C,11.718
5/8,75,D,21.366
5/8,76,B,2.744
5/8,76,A,2.802
5/8,76,C,3.392
5/3/17,77,C,19.720
5/3/17,77,A,21.470
5/3/17,77,E,22.006
5/3/17,77,D,26.350
5/3/17,77,B,34.368
