cupID,tray,line_pos,pop,line,age,rep,surv_d1,cons_d1,surv_d2,cons_d2,surv_d3,cons_d3,surv_d4,cons_d4,surv_d5,cons_d5,surv_d6,cons_d6,surv_d7,cons_d7,surv_d8,cons_d8,surv_d9,cons_d9
533,21,70,Dalton,6,young,2,3,0,,,3,4,,,3,13,,,3,13,,,3,15
534,21,71,TT,5,young,2,3,1,,,3,1,,,3,3,,,3,7,,,3,6
535,21,72,Hwy 27,3,young,2,3,0,,,3,0,,,2,0,,,0,0,,,0,0
536,21,74,Center Hill,1,young,2,3,0,,,3,2,,,3,8,,,3,15,,,3,9
537,21,75,Gen Butler,2,young,2,3,0,,,3,2,,,3,7,,,3,15,,,3,18
538,21,76,Whitehall,2,young,2,3,0,,,3,1,,,3,3,,,3,12,,,3,6
539,21,77,HV,7,young,2,3,1,,,3,3,,,3,19,,,3,8,,,3,21
540,21,78,McPhee,1,young,2,3,1,,,3,2,,,3,2,,,3,1,,,1,1
541,22,1,Whitehall,18,young,3,3,1,,,3,3,,,2,4,,,2,1,,,2,6
542,22,2,MacArthur,5,young,3,3,0,,,3,1,,,3,0,,,3,0,,,2,1
543,22,3,Gen Butler,3,young,3,3,1,,,3,2,,,3,1,,,3,1,,,2,2
544,22,4,Center Hill,7,young,3,3,1,,,3,3,,,3,6,,,3,1,,,3,7
545,22,5,KBS,9,young,3,3,1,,,3,2,,,3,2,,,3,1,,,2,3
546,22,6,OCM,10,young,3,3,1,,,3,2,,,2,1,,,2,1,,,2,2
547,22,7,Dalton,4,young,3,3,1,,,3,2,,,2,2,,,2,2,,,1,5
548,22,8,KBS,2,young,3,3,1,,,3,2,,,3,5,,,3,5,,,3,10
549,22,9,Center Hill,3,young,3,3,0,,,3,3,,,3,3,,,3,2,,,3,11
550,22,10,Dalton,8,young,3,3,1,,,3,1,,,1,0,,,1,0,,,1,2
551,22,11,McPhee,8,young,3,3,0,,,3,2,,,3,5,,,3,4,,,3,8
552,22,12,OCM,17,young,3,3,1,,,3,2,,,3,3,,,3,1,,,3,4
553,22,13,With,43,young,3,3,0,,,3,2,,,2,0,,,0,0,,,0,0
554,22,14,Bella,2,young,3,3,0,,,3,1,,,2,2,,,1,0,,,0,1
555,22,15,HV,3,young,3,3,1,,,3,3,,,2,3,,,3,4,,,0,0
556,22,16,Whitehall,16,young,3,2,0,,,2,1,,,2,0,,,1,0,,,1,0
557,22,17,Bella,3,young,3,3,0,,,3,1,,,2,,,,2,1,,,1,0
558,22,18,HV,10,young,3,3,1,,,2,1,,,1,1,,,1,2,,,1,6
559,22,19,McPhee,7,young,3,3,1,,,3,2,,,3,1,,,2,1,,,1,4
560,22,20,MacArthur,15,young,3,3,0,,,3,1,,,2,0,,,2,1,,,2,0
561,22,21,TT,7,young,3,3,0,,,3,2,,,3,6,,,2,4,,,2,8
562,22,22,KBS,8,young,3,3,1,,,2,3,,,2,3,,,2,3,,,2,7
563,22,23,OCM,18,young,3,3,0,,,3,4,,,2,2,,,2,4,,,2,9
564,22,24,Caesar,7,young,3,3,0,,,3,4,,,3,3,,,3,4,,,3,19
565,22,25,Gav,23,young,3,3,0,,,1,0,,,0,0,,,0,0,,,0,0
566,23,26,Hwy 27,6,young,3,2,0,,,2,1,,,2,1,,,2,0,,,1,2
567,23,27,HV,5,young,3,3,0,,,2,1,,,2,5,,,2,7,,,2,23
568,23,28,TT,25,young,3,3,1,,,3,5,,,3,3,,,3,14,,,3,17
569,23,29,With,46,young,3,3,0,,,2,0,,,0,0,,,0,0,,,0,0
570,23,30,With,42,young,3,3,0,,,3,1,,,3,0,,,2,1,,,2,0
571,23,31,Bella,21,young,3,3,0,,,3,3,,,2,0,,,0,0,,,0,0
572,23,32,Dalton,9,young,3,2,1,,,2,0,,,0,0,,,0,0,,,0,0
573,23,33,Gav,22,young,3,3,0,,,0,0,,,0,0,,,0,0,,,0,0
574,23,34,Tiri,12,young,3,3,0,,,3,2,,,3,1,,,3,13,,,2,0
575,23,35,Hwy 27,1,young,3,3,0,,,3,0,,,3,0,,,3,2,,,3,0
576,23,36,Whitehall,3,young,3,2,0,,,2,1,,,1,3,,,1,7,,,1,17
577,23,37,Gav,1,young,3,3,0,,,2,0,,,2,1,,,2,0,,,2,0
578,23,38,OCM,5,young,3,3,1,,,3,9,,,3,3,,,3,12,,,3,25
579,23,39,Bella,13,young,3,2,0,,,1,0,,,0,0,,,0,0,,,0,0
580,23,40,McPhee,6,young,3,3,1,,,3,4,,,3,4,,,3,9,,,3,41
581,23,41,TT,9,young,3,3,0,,,3,3,,,3,2,,,3,9,,,3,19
582,23,42,Gen Butler,7,young,3,3,1,,,3,3,,,2,3,,,2,9,,,2,17
583,23,43,Gen Butler,1,young,3,3,0,,,1,2,,,1,2,,,1,,,,1,24
584,23,44,Hwy 27,2,young,3,2,0,,,2,0,,,1,0,,,0,0,,,0,0
585,23,45,Whitehall,17,young,3,3,0,,,2,0,,,1,0,,,1,3,,,1,4
586,23,46,Gen Butler,9,young,3,3,0,,,3,2,,,3,0,,,3,13,,,3,13
587,23,47,MacArthur,22,young,3,3,0,,,3,1,,,3,0,,,3,0,,,3,0
588,23,48,Tiri,16,young,3,3,0,,,2,2,,,2,0,,,1,0,,,0,0
589,23,49,Caesar,10,young,3,3,0,,,1,1,,,0,0,,,0,0,,,0,0
590,23,50,OCM,16,young,3,3,0,,,3,5,,,1,1,,,1,1,,,0,0
591,24,51,MacArthur,16,young,3,2,0,,,1,1,,,1,0,,,1,0,,,1,0
592,24,52,HV,13,young,3,3,0,,,3,7,,,3,8,,,3,26,,,3,42
593,24,54,KBS,5,young,3,3,0,,,2,2,,,2,5,,,2,6,,,2,24
594,24,55,KBS,12,young,3,1,0,,,0,0,,,0,0,,,0,0,,,0,0
595,24,56,MacArthur,21,young,3,3,0,,,0,0,,,0,0,,,0,0,,,0,0
596,24,57,With,48,young,3,3,0,,,3,1,,,3,1,,,3,1,,,3,2
597,24,58,Tiri,5,young,3,1,0,,,0,0,,,0,0,,,0,0,,,0,0
598,24,60,Caesar,9,young,3,3,1,,,1,2,,,1,8,,,1,6,,,1,19
599,24,61,Hwy 27,8,young,3,3,0,,,0,0,,,0,0,,,0,0,,,0,0
600,24,62,Caesar,5,young,3,3,0,,,3,5,,,3,15,,,3,24,,,3,40
601,24,63,TT,10,young,3,3,0,,,3,3,,,3,12,,,3,11,,,3,33
602,24,64,Tiri,22,young,3,3,0,,,3,1,,,2,1,,,0,0,,,0,0
603,24,65,McPhee,2,young,3,3,1,,,0,0,,,0,0,,,0,0,,,0,0
604,24,66,With,47,young,3,3,0,,,3,0,,,2,0,,,1,1,,,1,1
605,24,67,Center Hill,2,young,3,3,1,,,3,3,,,3,13,,,3,9,,,3,27
606,24,68,Dalton,2,young,3,3,1,,,3,5,,,3,9,,,3,3,,,3,22
607,24,69,Center Hill,8,young,3,3,1,,,3,5,,,2,7,,,2,7,,,2,13
608,24,70,Dalton,6,young,3,3,1,,,3,8,,,3,20,,,3,16,,,3,14
609,24,71,TT,5,young,3,3,0,,,3,3,,,3,7,,,2,6,,,3,28
610,24,72,Hwy 27,3,young,3,3,0,,,2,1,,,1,0,,,1,0,,,1,0
611,24,74,Center Hill,1,young,3,3,0,,,3,4,,,3,13,,,3,12,,,3,26
612,24,75,Gen Butler,2,young,3,3,0,,,2,1,,,2,4,,,2,4,,,2,6
613,24,76,Whitehall,2,young,3,3,0,,,3,4,,,3,8,,,3,4,,,3,7
614,24,77,HV,7,young,3,3,0,,,3,3,,,1,0,,,1,1,,,1,4
615,24,78,McPhee,1,young,3,3,1,,,3,5,,,3,10,,,3,8,,,3,20
616,1,79,control,0,mature,1,5,,5,,5,,4,,3,,2,,1,,0,,,
617,2,79,control,0,mature,2,3,,3,,3,,1,,1,,1,,1,,0,,,
618,3,79,control,0,mature,3,5,,2,,2,,1,,0,,0,,0,,0,,,
619,4,79,control,0,mature,4,5,,4,,4,,4,,3,,3,,3,,3,,,
620,5,79,control,0,mature,5,4,,4,,4,,4,,4,,4,,4,,5,,,
621,6,79,control,0,mature,6,3,,3,,3,,3,,3,,3,,3,,3,,,
622,7,79,control,0,mature,7,5,,5,,5,,1,,1,,1,,1,,1,,,
623,8,79,control,0,mature,8,5,,5,,5,,5,,5,,5,,4,,4,,,
624,9,79,control,0,mature,9,4,,4,,4,,3,,3,,3,,2,,2,,,
625,10,79,control,0,mature,10,5,,5,,5,,5,,5,,5,,5,,5,,,
626,11,79,control,0,mature,11,5,,5,,5,,4,,4,,4,,4,,4,,,
627,12,79,control,0,mature,12,5,,5,,5,,5,,5,,5,,5,,5,,,
628,13,79,control,0,mature,13,5,,4,,4,,4,,4,,4,,4,,4,,,
629,14,79,control,0,mature,14,5,,5,,5,,5,,4,,2,,2,,2,,,
630,15,79,control,0,mature,15,5,,5,,5,,4,,4,,4,,4,,4,,,
631,16,79,control,0,young,1,2,,2,,2,,2,,2,,2,,1,,1,,1,
632,17,79,control,0,young,2,3,,3,,3,,3,,3,,3,,3,,3,,3,
633,18,79,control,0,young,3,3,,3,,3,,2,,2,,2,,2,,2,,2,
634,19,79,control,0,young,4,3,,3,,3,,1,,1,,1,,1,,1,,1,
635,20,79,control,0,young,5,3,,3,,3,,2,,1,,1,,1,,1,,1,
636,21,79,control,0,young,6,3,,3,,3,,3,,3,,3,,3,,3,,2,
637,22,79,control,0,young,7,2,,2,,2,,2,,2,,2,,2,,2,,2,
638,23,79,control,0,young,8,2,,2,,2,,3,,3,,3,,3,,3,,2,
639,24,79,control,0,young,9,3,,3,,3,,3,,3,,3,,3,,2,,2,
