pop,line,indiv,age,percent_N,percent_C,C_N
With,47,T,young,2.893,39.239,13.56342897
With,47,V,young,2.316,38.62,16.67530225
With,48,V,young,1.895,36.831,19.43588391
With,42,Q,young,2.001,35.111,17.54672664
With,42,R,young,2.1111,38.9084,18.43039174
With,42,T,young,1.6606,37.1418,22.36649404
With,47,R,young,2.5253,37.3745,14.80002376
With,47,S,young,2.6946,45.5789,16.91490388
With,47,U,young,2.1994,40.7153,18.51200327
With,48,Q,young,1.8808,45.9182,24.41418545
With,48,R,young,1.2596,31.9401,25.35733566
With,48,S,young,2.0186,39.8273,19.73015952
