pos,pop,line,indiv,mature 1,mature 2,young 1,young 2
175,MacArthur,15,F,310,355,145,90
176,TT,9,D,290,245,110,110
177,Hwy 27,8,F,410,375,90,90
179,Gen Butler,1,D,180,185,135,170
180,Bella,2,D,200,200,140,160
181,TT,25,E,290,290,150,110
182,Hwy 27,6,F,320,290,90,90
183,Valverde,2,F,250,235,110,100
184,Bella,21,E,310,290,100,90
185,Gav Bulk,1,F,325,260,170,130
186,With,42,D,240,270,130,100
187,Caesar,7,F,200,230,110,120
188,Gen Butler,1,E,150,220,90,100
189,MacArthur,22,F,185,210,115,180
190,HV,7,F,330,290,190,90
191,KBS Bulk,8,F,205,210,120,100
192,With,43,D,290,350,185,140
193,Bella,4,F,305,240,130,155
194,Center Hill,1,F,330,260,180,150
195,Hwy 27,2,E,350,300,90,160
196,OCM,10,F,265,235,150,190
197,Gen Butler,9,E,255,265,175,130
198,Bella,4,D,265,270,200,195
199,Caesar,7,D,310,310,100,135
200,Gav,1,F,290,270,140,150
201,TT,9,F,270,235,140,135
202,Dalton Bulk,8,D,245,255,100,135
203,TT,10,F,250,300,105,100
204,Caesar,3,F,270,210,120,90
205,Dalton,6,D,260,255,155,100
206,McPhee,1,F,140,195,100,110
207,OCM,5,F,160,230,130,145
208,Gen Butler,3,D,350,260,115,110
209,Whitehall,18,E,250,230,120,120
210,Tiri,12,F,320,225,110,100
211,Tiri,1,D,290,210,150,150
212,Dalton,4,E,250,340,90,110
213,Hwy 27 bulk,1,E,360,310,110,110
214,Hwy 27,9,F,290,380,90,100
215,TT,10,E,245,235,90,110
217,KBS,12,D,250,235,170,165
218,Whitehall,18,F,300,220,90,120
220,MacArthur,15,E,240,290,135,100
221,Gen Butler,9,D,220,200,140,135
222,MacArthur,21,E,330,350,90,150
223,Gen Butler,1,F,230,310,90,120
224,Gen Butler,2,F,280,290,140,90
225,Center Hill,7,D,280,330,140,90
226,HV,7,E,240,230,90,90
227,McPhee,6,E,270,260,105,90
228,McPhee,6,F,335,280,90,140
229,KBS Bulk,8,E,305,265,90,90
