"","pop","line","lat","age","biomass","surv","area"
"72","Hwy 27","Hwy 27_6",26.537067,"young",0.012144285605145,1.33333333333333,0.129567728031951
"73","Hwy 27","Hwy 27_8",26.537067,"mature",0.138527567033988,3.75,0.154164311198239
"74","Hwy 27","Hwy 27_8",26.537067,"young",0.000578809702454944,0.333333333333333,0.0376811318391274
"75","KBS","KBS_12",42.399933,"mature",0.12778469593024,4,0.157904031731583
"76","KBS","KBS_12",42.399933,"young",0.0551199188047265,1.33333333333333,0.132772384817719
"77","KBS","KBS_2",42.399933,"mature",0.277270712087388,4.5,0.182326559005496
"78","KBS","KBS_2",42.399933,"young",0.100185680922421,2.33333333333333,0.207350873624359
"79","KBS","KBS_5",42.399933,"mature",0.144745870995363,4,0.161407466262529
"80","KBS","KBS_5",42.399933,"young",0.071429423500873,2.33333333333333,0.192253570534735
"81","KBS","KBS_8",42.399933,"mature",0.176850891504062,4.5,0.171027202793412
"82","KBS","KBS_8",42.399933,"young",0.143239826954314,2.66666666666667,0.219869485484092
"83","KBS","KBS_9",42.399933,"mature",0.248621835636926,4.75,0.172609356693881
"84","KBS","KBS_9",42.399933,"young",0.0267656085970768,2,0.178905593603296
"85","MacArthur","MacArthur_15",27.177583,"mature",0.119611006529162,4,0.144016895726679
"86","MacArthur","MacArthur_15",27.177583,"young",0.0128097015158913,1.66666666666667,0.12009836001134
"87","MacArthur","MacArthur_16",27.177583,"mature",0.168062234931366,4.5,0.158144009236269
"88","MacArthur","MacArthur_16",27.177583,"young",0.0147536192743415,1.66666666666667,0.132682439956829
"89","MacArthur","MacArthur_21",27.177583,"mature",0.0504647722074748,3,0.128700052133588
"90","MacArthur","MacArthur_21",27.177583,"young",0,0,0
"91","MacArthur","MacArthur_22",27.177583,"mature",0.117934442911465,4.5,0.148446603786856
"92","MacArthur","MacArthur_22",27.177583,"young",0.0038678300555267,1.33333333333333,0.0673749353906152
"93","MacArthur","MacArthur_5",27.177583,"mature",0.089916072190875,3.25,0.14699377807679
"94","MacArthur","MacArthur_5",27.177583,"young",0.00766636670238472,1.66666666666667,0.109865791469338
